"gene_name"	"module"	"color"	"kME_grey"	"kME_allcells_allgenes_ND_25neighbors-M1"	"kME_allcells_allgenes_ND_25neighbors-M2"	"kME_allcells_allgenes_ND_25neighbors-M3"	"kME_allcells_allgenes_ND_25neighbors-M4"	"kME_allcells_allgenes_ND_25neighbors-M5"	"kME_allcells_allgenes_ND_25neighbors-M6"	"kME_allcells_allgenes_ND_25neighbors-M7"	"kME_allcells_allgenes_ND_25neighbors-M8"	"kME_allcells_allgenes_ND_25neighbors-M9"	"kME_allcells_allgenes_ND_25neighbors-M10"	"kME_allcells_allgenes_ND_25neighbors-M11"
"DVL1"	"DVL1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.00201800371098025	-0.093331981324874	-0.101980594405871	-0.0675556498016775	-0.0111231116250736	-0.0707293293363332	0.11425748242482	0.0256749131100906	-0.0498078410654616	-0.00783612450567723	-0.0424734797369627	-0.0244868389656995
"CCNL2"	"CCNL2"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0194701688403458	-0.209316161375565	-0.238783987116881	-0.184757502949192	-0.0639964697912114	-0.194568269252915	0.256376849805692	0.115681208594408	-0.0664511313827875	-0.0240697450042326	-0.0892901603316038	-0.0198850783111923
"MRPL20"	"MRPL20"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00113973751267659	-0.053587688434812	-0.0693997564693624	-0.0412947874677087	-0.00648589492804938	-0.0412193290681235	0.0825960204355642	0.0378685023056234	-0.0223838429431619	0.010104888813809	-0.00667423925432282	0.00378161285403863
"ANKRD65"	"ANKRD65"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0153812773341033	-0.0615939630653775	-0.0626089727649252	-0.0419631656124003	-0.00277288669755551	-0.0471301213942805	0.0680652074191053	0.0282562316709834	-0.0322677032454151	0.0122813865191873	-0.0221224539179786	-0.0143955577493985
"ATAD3C"	"ATAD3C"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.000763429588393018	-0.0920322339378995	-0.104137437425292	-0.0279672984733103	0.0503366909337301	-0.0323534698823735	0.127091389997321	-0.0104715542253474	-0.0962453935196733	0.00902532754589181	-0.0598861884503042	-0.0696200875459177
"ATAD3B"	"ATAD3B"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0210647640902476	-0.140484014528053	-0.165504541846684	-0.0902288250746888	-0.0201381394213803	-0.121168854825833	0.180353028349216	0.0582697422741047	-0.0694043120838055	0.0141904090028231	-0.0460483698011087	-0.0233418531666635
"SSU72"	"SSU72"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00857328944357951	-0.0768793227681382	-0.0937934860326072	-0.0575674176776178	0.0104176454570027	-0.049541787590961	0.109901595488016	0.0267037761502677	-0.0427883776729589	-0.0165853729608799	-0.0467757927674479	-0.0317516294595126
"MIB2"	"MIB2"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.00209756508498691	-0.0983286327295108	-0.114752136961516	-0.0535095508922898	0.0114791243772937	-0.0684994601746101	0.133247208784724	0.0193149380316116	-0.0753778807787509	0.00336724253993513	-0.0474204200556176	-0.0416174635508455
"CDK11B"	"CDK11B"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0213698270204465	-0.0746870959584823	-0.101996801701274	-0.0611067859405882	0.0106794461861263	-0.0559466712138408	0.125154171643281	0.0554132038913377	-0.0305158705788508	-0.00396877916936884	-0.0439899189099533	-0.0262812505071484
"SLC35E2B"	"SLC35E2B"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0297114491511556	-0.155387663002473	-0.21282290424078	-0.0924206917935457	-0.00482234136267134	-0.140671917321977	0.247435591737433	0.0765264054248625	-0.100238861618482	0.0450406118144913	-0.0401030214416653	-0.0198482075466777
"CDK11A"	"CDK11A"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00115846791613678	-0.0608678408530968	-0.0886451207419995	-0.0487846039171108	0.0238711135164788	-0.0438507967220288	0.11122222835564	0.035380683131757	-0.0434271023982559	-0.00376747573307514	-0.0437615397182447	-0.0280270043015282
"SLC35E2A"	"SLC35E2A"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0170863967229714	-0.101622093456968	-0.144213802677782	-0.0520091260007101	0.0119461115690433	-0.0845612133731676	0.177746417673361	0.0455027554703781	-0.0773537705758402	0.0385528621491709	-0.0288879827467383	-0.0189939851337162
"NADK"	"NADK"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0125284521416336	-0.107265246118631	-0.138365414908597	-0.0726217294326519	-0.0117927606688272	-0.0887013865447888	0.15981893784506	0.0537021278534017	-0.0604550593721159	0.0254717669122107	-0.0285035892515494	-0.0119057998037249
"GNB1"	"GNB1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0365261666256043	-0.235984119728715	-0.333430530005178	-0.180987203589513	-0.0450131262206478	-0.248690793208779	0.408144330408731	0.137983768493452	-0.150904352696196	0.0462006749782189	-0.0962123546097861	-0.0185854716306272
"PRKCZ"	"PRKCZ"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0262505050772063	-0.136483657291951	-0.194288162893789	-0.15111867192354	-0.0601440148892511	-0.150072770470152	0.244230176996265	0.137669395298591	-0.0262406597784324	-0.00490197680136099	-0.0459512667006382	0.0123476737877744
"FAAP20"	"FAAP20"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0424220339398805	-0.0944641009028305	-0.117690184856335	-0.0542297414031231	-0.0379873831765473	-0.101861093792579	0.137859915275448	0.0540089092993926	-0.044896289037054	0.0384640968767804	-0.00151466307280356	0.0090998661724331
"SKI"	"SKI"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0031951255386512	-0.14496665717438	-0.201286463237277	-0.110713718157223	-0.0126781678828592	-0.129526967741287	0.239878445540295	0.0924024415937221	-0.0711689315655488	0.00679004820301005	-0.0589187384223835	-0.0252275834671313
"MORN1"	"MORN1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0276949490467691	-0.0430490978224188	-0.065334871135426	-0.0438049712628824	-0.0255461794636987	-0.0695288096946864	0.0913083897622508	0.0649414185097529	0.00678494107624574	0.0239586784852482	0.00435353393413892	0.0310115064189867
"RER1"	"RER1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0012494120641078	-0.0391916584753754	-0.0575650249491905	-0.0361739455812241	0.00571730038745294	-0.0310648091601795	0.0765202728584464	0.0339910435953947	-0.0166155342438412	0.00716706679897469	-0.0212266776236062	-0.00633884660516317
"PRDM16-DT"	"PRDM16-DT"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0359333696688441	-0.0762544949250325	-0.089441928624258	-0.0060264525824502	0.115179535985636	0.0136651536703758	0.0961707935407855	-0.0588359341869231	-0.143437785477476	0.0132961643369988	-0.073032166624991	-0.119998047150253
"PRDM16"	"PRDM16"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.100896988217634	-0.275234090457265	-0.388150954422239	-0.160345545542752	0.1770153859398	-0.116459938674795	0.477354295806666	0.0247523672471435	-0.350775086952325	0.0367470916395305	-0.194631443743442	-0.234443876077456
"ARHGEF16"	"ARHGEF16"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0111514652889488	-0.0960645309389665	-0.1069295583541	-0.0574434023568538	-0.00759885320709682	-0.073754175315386	0.126506146417972	0.0613225431767572	-0.0407789943606649	0.0182210022378135	-0.033799766969149	-0.0107459172573233
"WRAP73"	"WRAP73"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0227832593892178	-0.0129441689592944	-0.0345919889152286	-0.018495859339036	0.00440794107579151	-0.0144298537942336	0.0571297786980556	0.0231084729282943	-0.00971102351726876	-0.00153285475382338	-0.00863236143565108	-0.00404553613244503
"LRRC47"	"LRRC47"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.022073708645071	-0.0903580280783395	-0.102433266037706	-0.0580652160445122	0.00196306955554715	-0.066801548755032	0.108618798803083	0.028603800374578	-0.0459094278533278	0.0054883618766044	-0.0380502604590468	-0.021707998551269
"CEP104"	"CEP104"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00671536025484177	-0.0591894417052785	-0.119031576851215	-0.075111482084824	-0.0119802588816904	-0.0783822185510559	0.166962606772917	0.0976563326785091	-0.0092121101380901	0.0108906772918554	-0.0269798277538346	0.0131266017351496
"DFFB"	"DFFB"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00570042039905457	-0.023897217539908	-0.0489598718793373	-0.0216247604178048	0.00239713061005847	-0.0265830226984878	0.0741886724849852	0.0193015773464381	-0.0326614031140172	0.0105236020344567	-0.00982876996717244	-0.0146657144269898
"C1orf174"	"C1orf174"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.00774993167202638	-0.0170006215687956	-0.0239913845207756	-0.0230396413320262	-0.0134274367361674	-0.0266587537248598	0.0395276039502778	0.0238408294495747	0.0060203573725368	0.0115494590313446	0.00497388667533433	0.0134443357509681
"NPHP4"	"NPHP4"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.00866552592240886	0.00944049996071063	-0.0336642150070419	-0.0186775998810104	-0.0065566108477131	-0.0337346658478139	0.0790344266697319	0.0753316685656638	0.0432026315437286	0.0049488537442552	0.00426048149309061	0.0364791921074261
"KCNAB2"	"KCNAB2"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0312065475022691	-0.0500376249204385	-0.0734741042289005	-0.0594523027349948	-0.0386829234195986	-0.0772393856325874	0.0986554045782691	0.0994841767732561	0.0410738628030108	0.00544913733122391	-0.00830995382755054	0.0403841476059859
"RPL22"	"RPL22"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00131833746446134	-0.0259120188029172	-0.0349051384941277	-0.0119576333606842	0.0129042340125839	-0.01240842927395	0.0500251113489047	-0.00212875875772063	-0.0342588094225765	0.0057384942938634	-0.0115588670536008	-0.0206399448185225
"RNF207"	"RNF207"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0208436457761336	-0.0416806897294732	-0.0674050820336035	-0.00648674894421276	0.0149288905006316	-0.0312740357256958	0.0817108875886754	0.0129869211533404	-0.0311054973152086	0.028720961414196	-0.00999569888354426	-0.0080158054559977
"ACOT7"	"ACOT7"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0102070522487444	-0.101803873920573	-0.128627450442055	-0.037948987385975	0.0307816307807169	-0.0552179425169356	0.143247787779175	0.00606197848526888	-0.0840333695429741	-0.00955903553403505	-0.0548352286669093	-0.0588614274541077
"NOL9"	"NOL9"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0127160366953205	-0.0811631811281445	-0.108647295748973	-0.075250302774196	-0.0403427032727967	-0.0926508550489234	0.126635990359654	0.0736237914714843	-0.0168270996264003	0.00771277967297648	-0.0202248490353451	0.0156026977383872
"ZBTB48"	"ZBTB48"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0196578118000056	-0.085058675050134	-0.0971264998090702	-0.0519692237327715	-0.00234984910984833	-0.0706984112808911	0.11860791968295	0.0394184442210424	-0.0445422672196204	0.0174570895750533	-0.0301013178061013	-0.0140156028380479
"KLHL21"	"KLHL21"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0070882733628293	-0.0197352598985945	-0.0362461772328599	-0.0204315586563331	-0.00122127455475394	-0.0232410070623215	0.0624873004410762	0.021831424972109	-0.0135526995822429	0.0114569584618475	-0.00261085755994653	0.00378608903135778
"THAP3"	"THAP3"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.00856119062605958	-0.0506707738252617	-0.0692660571139748	-0.0359558906249467	-0.00946582117680612	-0.0507468609306473	0.0857371766429374	0.027437905042529	-0.0191768784277579	0.0110965966904588	-0.0114599622041711	0.00289429653403043
"DNAJC11"	"DNAJC11"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00756687244329257	-0.0926530914631061	-0.144289342810417	-0.089463774291973	-0.00314720820084263	-0.0894952841470118	0.179655589882108	0.0759032504225712	-0.0390757037017444	-0.00188816694680293	-0.0465839951808049	-0.0151080199399977
"CAMTA1"	"CAMTA1"	"grey"	"grey"	0.0633779981428289	0.0923785962465794	0.0546797501347397	0.197646979557259	0.164942593467956	0.147167904234622	-0.00257476023578936	-0.180675536446098	-0.12139303942339	-0.0163857170795372	-0.0385789383454995	-0.135646583312873
"VAMP3"	"VAMP3"	"grey"	"grey"	0.00458526712546165	0.00800270145538143	-0.0075960528274108	-0.00463929442163211	0.00333179057849585	-0.000515197655463526	0.0289762382895022	0.0243874269044188	0.00743568906035817	0.00585666981900459	-0.000842997260872704	0.00174818977947539
"PER3"	"PER3"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0501001020873852	-0.0433354604179497	-0.0633773738036458	-0.0601408880532439	0.0260931183234423	-0.0136799041095087	0.0742940136419381	0.0355129233431513	-0.0195230870664845	-0.0402670221066405	-0.0646753105376563	-0.0400485240478292
"PARK7"	"PARK7"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0116460944801326	-0.00639057505847099	-0.0290707102719414	-0.010688250457126	-0.00776682208886552	-0.0269015153490711	0.0510007107184776	0.0339120222611135	-0.00123521041776959	0.0249238566309992	0.00965001226996596	0.0195125604013569
"ERRFI1"	"ERRFI1"	"grey"	"grey"	0.0721512832390641	0.0478911953606207	0.0448016254840392	0.0621214957373559	0.164663638765108	0.144771020287938	-0.0273199289237108	-0.0635332194256112	-0.0533138833235776	-0.0365368237536284	-0.0835428180717368	-0.107800908040187
"RERE"	"RERE"	"grey"	"grey"	0.0166766812004139	0.190644231153257	0.205008183596324	0.0957120914591844	-0.0336806771047412	0.0803560164225438	-0.163026590863297	-0.0240142565823075	0.107656127720173	0.0252942563786699	0.0772694134837125	0.0860490546593792
"ENO1"	"ENO1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0210297179259325	-0.0100637422749859	-0.0356996270539594	-0.0103237877003294	-0.0175231031262288	-0.0383392722821952	0.0652259552178261	0.0632607573926465	0.0155061583715577	0.0705719150232936	0.0456606867611719	0.0571730309749287
"H6PD"	"H6PD"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0105766696039287	-0.00818143444827394	-0.0329568827379133	-0.0224447947658657	-0.0262821349029367	-0.0364578524055052	0.0622811756672896	0.0650546254140899	0.024877426671687	0.0256071208148754	0.0193743843278483	0.0382318554206275
"SLC25A33"	"SLC25A33"	"allcells_allgenes_ND_25neighbors-M2"	"magenta"	-0.014657585207763	-0.0216422920395951	-0.0580155240032918	-0.110183539503155	-0.136271654516996	-0.129036640968079	0.10132336336591	0.190057598299462	0.0947654448275822	0.0163375829578651	0.0483287242687719	0.113401116738061
"PIK3CD"	"PIK3CD"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0378235102160329	-0.0408952674626213	-0.0645842418635182	-0.0207611100939141	-0.0407349627004126	-0.0729065063387217	0.0815160459080376	0.0386800910388915	-0.0101575512547194	0.0583769076818094	0.0401064466665474	0.0371777979299699
"CLSTN1"	"CLSTN1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0151425254264484	-0.0770830519178698	-0.116410894198474	-0.052488539587789	0.0119986384436735	-0.0552801223698824	0.148667939236984	0.0453876736078532	-0.0458738960135674	-0.00327494130332996	-0.039114518406454	-0.0297073141832123
"CTNNBIP1"	"CTNNBIP1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0421577885712053	-0.142710762181612	-0.20028978192325	-0.110152893635541	0.0398358307923704	-0.0885097103396291	0.251324415587212	0.0848938145164651	-0.107781687227021	0.00823246327020464	-0.089342118357301	-0.0625494516615014
"LZIC"	"LZIC"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00894371583375588	-0.0331200981130932	-0.0426157046590193	-0.0263996893555692	-0.00121183653281674	-0.0265461470857858	0.0585081402755226	0.0262433040836828	-0.00956382345720477	-0.00741081508170702	-0.0196562266791882	-0.00720602009433213
"NMNAT1"	"NMNAT1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.033422696239165	-0.154025844909872	-0.167623540306641	-0.100117526063149	-0.0344609433943797	-0.12676172219429	0.170929045546355	0.0638751379951014	-0.0741032194245074	0.0153571771261817	-0.0449182679552505	-0.0131055997332318
"UBE4B"	"UBE4B"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0164177419300411	-0.0372770106834277	-0.119113126425948	-0.0474597450043292	0.0202565904459959	-0.0586627794629885	0.186421854914344	0.0818256926934855	-0.0278072786923451	0.0235859517858082	-0.0200641712593486	0.0026209434683995
"KIF1B"	"KIF1B"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0289656353752915	0.0764121662047232	-0.0160378620716405	0.112553851323244	0.0326189722809142	0.0051372675384775	0.0900314362359567	-0.0134652970237602	-0.0427141576270218	0.0968684284434584	0.042933373741507	0.0311803420069037
"PGD"	"PGD"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.00545816237842978	-0.0691389342544507	-0.113188010692361	-0.0527912722388165	0.00216559908446038	-0.0684202195535043	0.138747055638732	0.0489622014442528	-0.0467613809457455	0.0148257684771568	-0.0252364043415633	-0.0161104364985205
"CENPS"	"CENPS"	"grey"	"grey"	0.00922355194748795	-0.000200074861035519	-0.00339340629408236	5.29983092559734e-05	0.00464583482230729	0.0036614789382059	0.00458157838794017	0.00730677155103709	0.0115188897360349	-0.0177796964573918	-0.0114322331560454	-0.00483120545162071
"DFFA"	"DFFA"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0131990320272693	-0.0832335474979411	-0.114849704379311	-0.045499816283288	0.0280940934674996	-0.0482599517838063	0.134724939663437	0.0225701076894776	-0.074575448228929	0.00464771859723257	-0.0459568800784214	-0.0454253352493086
"PEX14"	"PEX14"	"grey"	"grey"	0.0182996611081553	0.0652450953138526	0.0307321769369574	0.0181682425650808	0.00357632294638469	0.0183119748942732	0.0160408643264287	0.050813098972002	0.0561791643625745	0.0280827525961033	0.0351671316672253	0.0459999175057806
"CASZ1"	"CASZ1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.117969896153375	-0.226819001447385	-0.279513077283394	0.0121772106421815	0.359252241568509	0.0888603283056124	0.307806536305859	-0.140114664186968	-0.369784621415264	-0.0308762149314096	-0.276312608298806	-0.362147574199393
"C1orf127"	"C1orf127"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.13903756612673	-0.138564427282355	-0.19228882662635	-0.00450731994928524	0.00988766707220238	-0.136057464344606	0.226398209807393	0.0552896402032339	-0.143102451833915	0.23237072450535	0.0702970336765877	0.0386377827827409
"TARDBP"	"TARDBP"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00350879359102539	0.0409143092312999	0.00350704914613309	-0.00247698293272199	-0.0336650942873942	-0.0225066065746689	0.0368394228179461	0.0547584851795219	0.0475020785604315	0.0427025051060353	0.0525636786793737	0.0560004821229277
"EXOSC10"	"EXOSC10"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0215765020901014	-0.112932978408495	-0.160719847304646	-0.144499794410641	-0.0929384753206054	-0.158135179577134	0.202660927185518	0.155523743290524	0.0136278995661315	0.0103257851058794	-0.0170854703514837	0.0551967491538785
"MTOR"	"MTOR"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0278553309971998	0.0412534415622777	-0.0322878350491547	0.00370378291553047	0.0222527452521985	-0.00461586488014666	0.0882891566265711	0.0366305844981383	-0.0018258793904787	0.0364540514751667	0.0327470818875712	0.0180119021668741
"UBIAD1"	"UBIAD1"	"grey"	"grey"	0.0077196143819314	0.00955147709304527	-0.00314557201600077	-0.0125139977318162	-0.0221803176431318	-0.021012628713981	0.0239473794253873	0.0324530186454559	0.0237681536923505	0.00182389698345939	0.0132149281751979	0.0224908549311736
"DISP3"	"DISP3"	"allcells_allgenes_ND_25neighbors-M3"	"brown"	0.0581164982355201	-0.0976900826416982	-0.127311375453795	0.0461971168039892	0.214642820445741	0.0644479145216186	0.155431291046113	-0.0996762451235126	-0.230018899559809	0.0311482913164042	-0.115177335898313	-0.199435869575392
"FBXO44"	"FBXO44"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0212260979569559	-0.0744425637314238	-0.0935083653416877	-0.0309521130225162	0.0156459235310689	-0.0461152307747493	0.102453150962659	0.0241310870270954	-0.0482789002346249	0.0165117134767937	-0.03756588565793	-0.0346354520839767
"MTHFR"	"MTHFR"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.025031978505662	-0.132561474789173	-0.179078806907853	-0.0901689378625604	-0.000743257351097427	-0.111406265817924	0.210648265365188	0.0842362119136959	-0.0711863732813398	0.0295004375192927	-0.0476335886195439	-0.0176188458455959
"CLCN6"	"CLCN6"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.0140149120855225	-0.0585059484042957	-0.124229204956418	-0.0677495285694018	-0.037711392853313	-0.101922507150571	0.183554294902636	0.119779188562624	0.0056807219458097	0.0458954708149117	0.0101139716719177	0.049291822350385
"AL021155.5"	"AL021155.5"	"allcells_allgenes_ND_25neighbors-M3"	"brown"	0.107723996645869	-0.0561771139759468	-0.0480442149743166	-4.00623430458775e-06	0.177464209537298	0.0986148315433675	0.0497161514570047	-0.0961719791534222	-0.130801693023041	-0.0941048488719235	-0.143924296150164	-0.174850579067474
"PLOD1"	"PLOD1"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00782056362006615	-0.112312037084916	-0.138233922615433	-0.0909361880540492	-0.017314920676775	-0.0940087907265069	0.152919871956312	0.0384245029306006	-0.0683790685268929	-0.0108985214897709	-0.0497364854111707	-0.0292160190486262
"MFN2"	"MFN2"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	0.00650053376696933	-0.0861214299397417	-0.116270682928566	-0.0744819197422599	-0.0133706388390466	-0.0736329431021695	0.144395332214121	0.0589644920840992	-0.0343113696247285	0.00707666537265781	-0.0331425849389261	-0.0121352533829045
"VPS13D"	"VPS13D"	"grey"	"grey"	0.0669812827062117	0.0818979799487167	0.0186342403080122	-0.0230087009096814	0.0032558892798758	0.0187924961415658	0.048990195276548	0.0846653968345868	0.0707310279297699	-0.0255168512794705	-0.0222219980198886	0.0328648444914696
"C1orf158"	"C1orf158"	"allcells_allgenes_ND_25neighbors-M1"	"turquoise"	-0.00833698962063352	-0.0881525771856338	-0.149416750177572	-0.0605103128916639	-0.034564236519542	-0.111328517118426	0.202970620587999	0.123577911583422	-0.0317247037395302	0.0953507858561312	0.0223216471762951	0.0487850795082993
"PRDM2"	"PRDM2"	"grey"	"grey"	0.0522880058282476	0.131577433640742	0.105283808326137	0.0413032630220766	-0.00760292555853315	0.0587700574219161	-0.0517704487601135	0.034874605764291	0.10109148900591	-0.00232077801847007	0.0500194818166203	0.0544630240764645
