"gene_name"	"module"	"color"	"kME_grey"	"kME_betacells_allgenes_ND_25neighbors-M1"	"kME_betacells_allgenes_ND_25neighbors-M2"	"kME_betacells_allgenes_ND_25neighbors-M3"	"kME_betacells_allgenes_ND_25neighbors-M4"	"kME_betacells_allgenes_ND_25neighbors-M5"
"CCNL2"	"CCNL2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.261243958000751	-0.143413718810067	-0.0286068032386547	-0.0672561640630255	-0.137620087729382	-0.24325275527711
"MRPL20"	"MRPL20"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.102676882812513	-0.0545193444827224	-0.0240234896811946	0.00261418743667705	-0.037565518459393	-0.0846029893499986
"ANKRD65"	"ANKRD65"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0681756733909521	-0.0184778242565281	0.0267643909892768	-0.0646278661770948	-0.0544999238731494	-0.0669462713272512
"ATAD3C"	"ATAD3C"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.119304942948594	-0.015192936317724	0.0384890397231309	-0.0742748876852221	-0.0612008412622219	-0.0919525869572978
"ATAD3B"	"ATAD3B"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.181510185277595	-0.0813605769313309	-0.0056010973333981	-0.0640060452511973	-0.0841617753123884	-0.166658694422837
"SSU72"	"SSU72"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.113116864010304	-0.0638395931370974	-0.0112783573967288	-0.0236653454684724	-0.0380870573406883	-0.09468623326599
"MIB2"	"MIB2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.132692508671935	-0.0552359551909971	-0.0031699653399268	-0.0373590602811754	-0.0678064160666941	-0.114189235727448
"CDK11B"	"CDK11B"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.11319342598365	-0.0455996759841577	0.000621658331138643	-0.0155639055613055	-0.0258183938918031	-0.0896794918321528
"SLC35E2B"	"SLC35E2B"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.232865313429995	-0.108273384900055	-0.00598776343774927	-0.0524549971536909	-0.0708552559014371	-0.196072737818372
"CDK11A"	"CDK11A"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.10801865266216	-0.042317424826399	0.00863103016621807	-0.0168922986339579	-0.0142039552798142	-0.0842050490571994
"SLC35E2A"	"SLC35E2A"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.17841074917688	-0.0872921880206364	0.0038650582594954	-0.0158611462005392	-0.0353151222639011	-0.14337436238353
"NADK"	"NADK"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.167307466782789	-0.0798118893476218	0.00309027120094124	-0.0525007174688862	-0.0721952280777241	-0.141868288053462
"GNB1"	"GNB1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.393273137088665	-0.194717675549152	0.00844385379518538	-0.0998596950643975	-0.0978980837612331	-0.317413755981964
"PRKCZ"	"PRKCZ"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.261572862218804	-0.160473656873802	-0.0488737712776033	0.00608156970724958	-0.0479142036097671	-0.199861910650956
"FAAP20"	"FAAP20"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.135104536128384	-0.0743209756062222	-0.0268477206170037	-0.0450105872257983	-0.0831174390119904	-0.127942728721682
"SKI"	"SKI"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.23812406937764	-0.131148932245822	-0.0254830257053074	-0.0205667682838445	-0.061371691583402	-0.200668495854463
"MORN1"	"MORN1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.101019291309917	-0.0599399081402756	-0.0260904105108245	0.013892614673955	-0.0153892386550158	-0.0776383088501527
"RER1"	"RER1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0972015350783659	-0.0392359171280171	0.0174524078564588	-0.0181441506907578	0.00489409383193183	-0.0709042002937459
"PRDM16-DT"	"PRDM16-DT"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0664908630838029	0.035359271013404	0.0583997514576349	-0.0933772151509492	-0.0779133713864142	-0.070657975194639
"PRDM16"	"PRDM16"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.437354233172817	-0.107199132313891	0.0522204399221123	-0.140157933481067	-0.151823604165627	-0.336244222069485
"ARHGEF16"	"ARHGEF16"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.132792317167373	-0.0340540100261545	0.0347812558891414	-0.0634492828725716	-0.0689923813569816	-0.115395748679433
"WRAP73"	"WRAP73"	"grey"	"grey"	0.0469982068417441	-0.0370195402878554	-0.0155869305619211	0.0233944857002456	0.0351571232634564	-0.0169738997350223
"LRRC47"	"LRRC47"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.109861011351479	-0.0381271114485207	0.0207172113380994	-0.0486618883865484	-0.0487787652836998	-0.103627719078649
"CEP104"	"CEP104"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.182003236989801	-0.0811046098343947	-0.0115698651488513	0.00612504900220472	0.0176409509437094	-0.131957062804851
"DFFB"	"DFFB"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0782660906593418	-0.0432371283816598	-0.0136522722829118	-0.0205232720538992	-0.0218530668112635	-0.0573578077960077
"C1orf174"	"C1orf174"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0278538179656406	-0.0177865027152544	-0.0048030448518202	-0.000176464081636364	-8.79732289504911e-05	-0.012005997637401
"NPHP4"	"NPHP4"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0788769003925504	-0.0285858341053046	-0.0156661452662381	0.0486251992670873	0.0545043666725512	-0.0325717361932043
"KCNAB2"	"KCNAB2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0992476233284438	-0.029863320454862	0.00964111416443302	-0.0244066358553257	-0.0168666941657761	-0.086007419680866
"RPL22"	"RPL22"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0487512912142026	-0.0249930129775671	-0.0150159969202072	-0.0150852146606275	-0.0328582034713241	-0.0394056354057416
"RNF207"	"RNF207"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0876631963638567	-0.0248373777999298	0.0259127916464729	-0.0422831921423733	-0.0226433604199168	-0.0678453622969542
"ACOT7"	"ACOT7"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.127672677865271	-0.0730068550224692	-0.0363412367412135	0.000401816780942667	-0.0494935793435535	-0.111040902822105
"NOL9"	"NOL9"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.137803496770125	-0.0757747321369776	-0.0267100477691294	-0.0201688863572337	-0.0462401095204294	-0.121526203844036
"ZBTB48"	"ZBTB48"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.121581578709595	-0.0490652535020508	-0.00547804254083186	-0.0258296847289587	-0.0476613736899416	-0.0968784560568194
"KLHL21"	"KLHL21"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0701425016197283	-0.0458077198318768	-0.0303619961082393	0.0123731833018671	-0.0102007797272666	-0.0458294704572019
"THAP3"	"THAP3"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.100807983998927	-0.0790378042217499	-0.0468931168600612	0.0119633649286866	-0.0208244597896668	-0.0787380220726949
"DNAJC11"	"DNAJC11"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.174230991293627	-0.0989475362573031	-0.022441359835291	-0.00458107493386145	-0.0121267887867706	-0.138022776944847
"CAMTA1"	"CAMTA1"	"grey"	"grey"	-0.07046523422317	0.0958134452399577	-0.0675337815459949	0.0802781165644506	0.0545284507070823	0.124643398136596
"VAMP3"	"VAMP3"	"grey"	"grey"	0.0316228178878792	-0.000996837050548339	0.0118053524086241	0.0028223237531059	0.0126787876825331	-0.019052540517184
"PER3"	"PER3"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0627694526702217	-0.0114858543159744	0.0119687895631146	-0.0134265761679373	-0.00673332713475903	-0.0501247649561532
"PARK7"	"PARK7"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0521148597088253	-0.0216003741737761	-0.00717100752449719	0.00524131248636085	0.00994342011663481	-0.0306327029542996
"ERRFI1"	"ERRFI1"	"grey"	"grey"	-0.0208114649654289	0.0784140247823507	0.069843734647512	-0.00899575444283281	0.0721091337566086	0.0458008070240521
"RERE"	"RERE"	"betacells_allgenes_ND_25neighbors-M2"	"blue"	-0.176658094574405	0.151387449692717	0.104317914587651	0.0195603372565636	0.129686129641137	0.213341424283491
"ENO1"	"ENO1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0867483834048219	-0.0263338805369909	0.0219640434518886	-0.00437873181272458	0.0264492021876475	-0.0604290103098252
"H6PD"	"H6PD"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0746603686747907	-0.0327082158918471	0.00553032747077568	-0.00378976928406273	0.0196216744664009	-0.045444298053736
"SPSB1"	"SPSB1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0752974531711563	-0.0477018466661016	-0.0183466523152154	0.00424423316707094	-0.0163721612233721	-0.0610323316064349
"SLC25A33"	"SLC25A33"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.134449105472473	-0.0743723593591583	-0.0219338533370839	0.0293541162299665	0.0226086966548204	-0.0888276273823498
"PIK3CD"	"PIK3CD"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0837472701685399	-0.0571076772386879	-0.0228771861649054	0.00798231666107767	-0.0178457641703459	-0.0689799604825829
"CLSTN1"	"CLSTN1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.156810656313057	-0.0643253703513674	-0.0195086924955771	-0.00457853749552935	-0.0178734332471516	-0.1139264576144
"CTNNBIP1"	"CTNNBIP1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.247714208941165	-0.0763707079326147	0.0669130981031718	-0.0940218930063427	-0.0527517759014412	-0.20057682469696
"LZIC"	"LZIC"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0714192066281444	-0.0377214672566758	-0.0223799083035016	0.00143517403687433	-0.0236844024142382	-0.0521923001640949
"NMNAT1"	"NMNAT1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.194476445686788	-0.102948670002098	-0.00589099183892249	-0.0725035945030017	-0.121702666901113	-0.189363566186404
"UBE4B"	"UBE4B"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.196789872908206	-0.081068230585492	-0.0104124847830036	0.0236423249488693	0.0589324623351706	-0.125584721319729
"KIF1B"	"KIF1B"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0887232600242452	-0.0113452310659997	0.00963295298577019	0.036185647804145	0.115301432969088	-0.00811559542137953
"PGD"	"PGD"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.139537780338989	-0.0715121158138597	-0.0174514921758989	-0.0118169705475249	-0.00977496806750653	-0.115294245101477
"CENPS"	"CENPS"	"grey"	"grey"	-0.00896313938326793	0.00304454172149048	-0.0167531918364844	0.0150042484745917	0.0114385026860044	0.00413189689553408
"DFFA"	"DFFA"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.120565296580311	-0.0648930792029552	-0.0233363752343038	-0.0131498456817922	-0.0492788634840355	-0.113292100927038
"PEX14"	"PEX14"	"grey"	"grey"	0.0215255775196078	0.0263936984220355	0.040949111117333	0.0204427855255637	0.111260911445481	0.0276624649332558
"CASZ1"	"CASZ1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.24493087778921	0.0939745162530202	0.168703132140451	-0.202798123480338	-0.130083232098203	-0.206501631937607
"C1orf127"	"C1orf127"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.255292569877346	-0.0545301862917427	0.132926620293757	-0.180017970196486	-0.119547763324944	-0.234868212467508
"TARDBP"	"TARDBP"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0474213434858953	-0.0142660592492727	-0.00137153761792832	0.0464911205600878	0.0668996363293993	-0.00417732288542774
"AL109811.2"	"AL109811.2"	"grey"	"grey"	0.00278866488665621	-0.0044537872868132	-0.011782538953728	0.00470069637098771	0.00319036953130911	0.00081454603688458
"EXOSC10"	"EXOSC10"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.224469358281625	-0.121925295412136	-0.0238120886539372	-0.00683320451256152	-0.0445715437506769	-0.176659223812857
"MTOR"	"MTOR"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0923425941214851	-0.061643462852	-0.0411857244292406	0.0693337349456758	0.0813631699149214	-0.0392379720549545
"UBIAD1"	"UBIAD1"	"grey"	"grey"	0.029086996758024	-0.0221969080606238	-0.0186139347012214	0.0309461004274231	0.0168541371115098	-0.0135824650259271
"DISP3"	"DISP3"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.119501963121417	0.0848841576864276	0.126013667612006	-0.151960335563559	-0.119781839434574	-0.107063299342336
"FBXO44"	"FBXO44"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.110482656959087	-0.0235339296682888	0.0242864372873199	-0.0520552630881811	-0.0579633981591554	-0.0977543128303696
"MTHFR"	"MTHFR"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.223394028997634	-0.0948865540195593	0.0174856288355366	-0.0692238414906303	-0.0701415171939071	-0.195580880456408
"CLCN6"	"CLCN6"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.19022154502571	-0.0934191773164805	-0.00926321672196117	0.00633176515450759	0.0154191150473599	-0.140832415050972
"AL021155.5"	"AL021155.5"	"grey"	"grey"	-0.000720621509460269	0.00679349810655412	-0.0238385753513994	0.00547116836174349	-0.0107038708667916	0.0051380752057269
"PLOD1"	"PLOD1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.165700306948256	-0.121072102628852	-0.046937562606873	-0.0154396440240915	-0.0680794134525243	-0.142593612788621
"MFN2"	"MFN2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.147500096925785	-0.058234500843325	0.00320609174737333	-0.0328307358269065	-0.0411125553627372	-0.125293772439272
"VPS13D"	"VPS13D"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0663931796047443	-0.000425470673477112	0.0267160094158902	0.0679570349888272	0.157215316798074	0.0141550355757792
"C1orf158"	"C1orf158"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.22311601605171	-0.0614388020152794	0.0734728003900131	-0.0387812401889582	-0.00995477784963857	-0.166359220115481
"PRDM2"	"PRDM2"	"grey"	"grey"	-0.0161638560444036	0.138714377586258	0.0508116419491714	0.119074564854354	0.156778186828962	0.0756099389968694
"KAZN"	"KAZN"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.14851758504404	-0.00405109040378136	0.0611106611795622	-0.0725875426158522	-0.0052038819818456	-0.102079137515893
"TMEM51"	"TMEM51"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.086387803571195	-0.00901489646599847	0.027845171709157	0.00108062051914516	0.0398473241679457	-0.0485747358670406
"CASP9"	"CASP9"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0638593975237812	-0.025963760786896	0.00755180485793323	0.0226461725070101	0.0290594047243294	-0.0317996834447046
"DNAJC16"	"DNAJC16"	"grey"	"grey"	0.048458193588699	-0.0128458211393469	0.0037114480375119	0.0341769028670655	0.0741822331724178	-0.00520419912639107
"AGMAT"	"AGMAT"	"grey"	"grey"	0.0381996706708575	-0.00739509688974626	0.0205860041155915	-0.0192540398164766	0.0184082227953313	-0.0232548098395093
"DDI2"	"DDI2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0562732130164837	-0.0015484752213694	0.0385506542601406	0.00726708599017298	0.0534161642108344	-0.0269110702954113
"PLEKHM2"	"PLEKHM2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.257144684234093	-0.154473675492245	-0.0308871215419764	-0.0151736530146269	-0.081573262326086	-0.214911349049731
"SLC25A34"	"SLC25A34"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.118500936797804	-0.0908652216502064	-0.0359453798232251	0.00672647162964132	-0.0474729322560263	-0.113931962740762
"FBLIM1"	"FBLIM1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.230604028381225	-0.0859594665418552	-0.00129943136443153	-0.0703580252565996	-0.11037246301678	-0.198131968515185
"AL450998.2"	"AL450998.2"	"grey"	"grey"	-0.0404702720399149	-0.00688785434886197	-0.034866168672352	0.0305310032053931	-0.00586246568940529	0.0375137121370912
"SPEN"	"SPEN"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.158385485764238	-0.0650755041415935	0.00178998569439731	0.00765768328528619	0.0126091246851251	-0.100564221208665
"ZBTB17"	"ZBTB17"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0493936993685771	-0.0497479208862621	-0.0325069196427183	0.0397047402747953	0.0307386986394672	-0.0210740221232188
"FBXO42"	"FBXO42"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.20683258040418	-0.0517925912513737	-0.00652990242468989	-0.0165786180007606	-0.0609627420815601	-0.172474493827495
"SZRD1"	"SZRD1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0939017513315337	-0.0249238728258316	0.0237634023822229	-0.037466035694406	-0.0188016339331092	-0.0709658014027018
"NECAP2"	"NECAP2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.029095309937575	-0.0236941192368909	-0.0161324228246611	0.0148295207870701	-0.00434195952326402	-0.0219328008893374
"NBPF1"	"NBPF1"	"grey"	"grey"	0.0354410266869084	-0.0284572909238232	-0.0238585296741331	0.05145578639064	0.0638494331157282	0.0030912957148392
"CROCC"	"CROCC"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.171451968223998	-0.085688287222894	-0.039599824675903	-0.0298177302590192	-0.0943448532356298	-0.151304964462029
"ATP13A2"	"ATP13A2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.134020808704078	-0.0556298127594253	-0.00713583590939417	-0.0431346580754835	-0.0621646255258687	-0.117187547305471
"SDHB"	"SDHB"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0411959993221889	-0.0177345302654777	-0.0195481983192528	0.0288615411422269	0.0356479046131231	-0.0163969303171231
"RCC2"	"RCC2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0523171899529287	0.000912990585777167	0.00491273516850601	0.0249222680388389	0.0507101432100712	-0.0113883180489317
"ARHGEF10L"	"ARHGEF10L"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.388626453561066	-0.0723490612885077	0.163130102286183	-0.182037612291368	-0.0839195311291392	-0.298982063683781
"IGSF21"	"IGSF21"	"grey"	"grey"	0.0219434042730546	0.127266650390096	0.0980181675636884	-0.105687352149418	-0.0337549888993084	-0.0218574070111917
"UBR4"	"UBR4"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.219468249549827	-0.079517444695086	0.0556687846391609	-0.0300028134443976	0.0779346742134399	-0.137377778996817
"EMC1-AS1"	"EMC1-AS1"	"grey"	"grey"	0.00992264739449697	-0.0120189043651636	-0.0183103730363616	0.0220843914870736	0.0200529252053926	0.00697884573809243
"EMC1"	"EMC1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0551914885882607	-0.0433992181729052	-0.0276782155591475	0.0137442426262206	-0.0161482118742959	-0.0408804189361813
"AKR7A2"	"AKR7A2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0876643079723013	-0.0306039327216225	-0.0146189374428606	-0.00295447156986669	-0.0400839625241514	-0.0739427269740094
"SLC66A1"	"SLC66A1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.113751159832127	-0.0513951071570529	-0.000890960095924569	-0.0275049252173138	-0.0525842025890911	-0.0963856729892754
"CAPZB"	"CAPZB"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.252078463847005	-0.107439530984647	0.00045105538617309	0.0326496132172099	0.0724656333935364	-0.16313595156276
"MICOS10"	"MICOS10"	"grey"	"grey"	0.0307390212547857	-0.0148770119745721	-0.0243513356725743	0.0269477770036871	0.0213332955067475	-0.00769991814304859
"TMCO4"	"TMCO4"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.123016331815293	-0.0507854363281105	0.0322529090333191	-0.00775505220769441	0.0315556912010646	-0.085167747355104
"OTUD3"	"OTUD3"	"grey"	"grey"	-0.0358266455134701	0.0363471794438017	0.0128300925493089	0.0440939579180667	0.0938382807072659	0.0656039556697697
"VWA5B1"	"VWA5B1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0830778726864431	0.0561980148797188	0.125974051425883	-0.0845974814466048	-0.00325362308728369	-0.0648280232182994
"CAMK2N1"	"CAMK2N1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.194395531865582	-0.0774106186331255	0.038463844536573	-0.104878366877416	-0.118784610404636	-0.19294431639182
"PINK1"	"PINK1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0511506041704586	-0.02031188194857	-0.00795033998852938	-0.000104891526876438	-0.000652600222898643	-0.0370612696531776
"DDOST"	"DDOST"	"grey"	"grey"	0.032824245965044	-0.0129638523397366	-0.0056501369292894	0.012498954066439	0.0232239618184318	-0.0143147113241823
"HP1BP3"	"HP1BP3"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0908498053201041	-0.012430171281665	0.0121094408386218	0.0372715021163186	0.0903071822704395	-0.0241555428521899
"EIF4G3"	"EIF4G3"	"betacells_allgenes_ND_25neighbors-M2"	"blue"	-0.215779771321264	0.0852730737690323	-0.0572894313642344	0.0974075962384195	0.139156709020095	0.25391335678855
"ECE1"	"ECE1"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.377303675709688	-0.127547178370825	0.0301798071367669	-0.0658546338218153	-0.0891715814886994	-0.311413666753983
"NBPF3"	"NBPF3"	"grey"	"grey"	6.3825139941229e-05	-0.0256698614264676	-0.0509538126503101	0.0744122708046222	0.0696524869964103	0.0240983778149297
"RAP1GAP"	"RAP1GAP"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.311994113801179	-0.136752444699869	0.0129296390592171	-0.0765418907546716	-0.100534433298771	-0.262721542620621
"USP48"	"USP48"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.0902010138997188	-0.0559111031705626	-0.0136079377931409	0.0651330238432991	0.120619333554095	-0.0185455039297528
"CDC42"	"CDC42"	"grey"	"grey"	-0.06365953999	0.0553389608829909	0.00753890873413155	0.0900468311272839	0.154504937097425	0.117827917431412
"WNT4"	"WNT4"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.137892688082693	-0.129201383802403	-0.110162905763456	0.0638099166200361	-0.0412698480692001	-0.102253162726249
"ZBTB40"	"ZBTB40"	"grey"	"grey"	0.00766940157057589	0.0507048566840413	0.062210023499446	0.0212898926930805	0.112004625901541	0.0476933008574629
"EPHB2"	"EPHB2"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.141368774979159	-0.00515944629855109	-0.0123644875356656	-0.0031036820140171	-0.0419315198725292	-0.0944212468925043
"KDM1A"	"KDM1A"	"betacells_allgenes_ND_25neighbors-M2"	"blue"	-0.0932362168501272	0.050278555878666	-0.0180696575932353	0.145262552449813	0.215362832471273	0.17082920701562
"AL031428.1"	"AL031428.1"	"betacells_allgenes_ND_25neighbors-M2"	"blue"	-0.252403828934247	0.110367242869713	-0.0332005992919106	0.0672645300659612	0.0558805940193002	0.236645435956555
"LUZP1"	"LUZP1"	"grey"	"grey"	0.0343608557564625	0.015350896204546	0.0260556275943468	-0.0250687868603794	-0.000159926787724805	-0.014041593066226
"LINC01355"	"LINC01355"	"grey"	"grey"	-0.0676626577740397	0.0444323269790845	-0.00195739700168463	0.091813967783266	0.150889024534986	0.110118759306793
"HNRNPR"	"HNRNPR"	"grey"	"grey"	0.0106361911525336	-0.00423596407713144	-0.0109560009358841	0.0992633581423509	0.177905031476857	0.0650767132226707
"TCEA3"	"TCEA3"	"betacells_allgenes_ND_25neighbors-M1"	"turquoise"	0.106788854373742	-0.0511231966696688	0.0149332593901467	-0.0311837868266746	-0.0125177697208229	-0.0920817239022333
